,timestamp,logNumber,Statistic.recvSeq13,Statistic.recvNum13,Statistic.compute1num13,Statistic.compute2num13
779,61525,log0,1068,913,840,57
780,61585,log0,1069,914,841,57
781,61646,log0,1070,915,842,57
782,61705,log0,1071,916,843,57
783,61765,log0,1072,917,844,57
784,61825,log0,1073,918,845,57
785,61885,log0,1074,919,846,57
786,61945,log0,1075,920,847,57
787,62005,log0,1076,921,848,57
788,62065,log0,1077,922,849,57
789,62125,log0,1078,923,850,57
790,62185,log0,1079,924,851,57
791,62245,log0,1080,925,852,57
792,62305,log0,1081,926,853,57
793,62365,log0,1082,927,854,57
794,62425,log0,1083,928,855,57
795,62485,log0,1084,929,856,57
796,62545,log0,1085,930,857,57
797,62605,log0,1086,931,858,57
798,62665,log0,1087,932,859,57
799,62725,log0,1088,933,860,57
800,62785,log0,1089,934,861,57
801,62845,log0,1090,935,862,57
802,62905,log0,1091,936,863,57
803,62965,log0,1092,937,864,57
804,63025,log0,1093,938,865,57
805,63085,log0,1094,939,866,57
806,63145,log0,1095,940,867,57
807,63205,log0,1096,941,868,57
808,63265,log0,1097,942,869,57
809,63325,log0,1098,943,870,57
810,63385,log0,1099,944,871,57
811,63445,log0,1100,945,872,57
812,63505,log0,1101,946,873,57
813,63565,log0,1102,947,874,57
814,63625,log0,1103,948,875,57
815,63685,log0,1104,949,876,57
816,63745,log0,1105,950,877,57
817,63805,log0,1106,951,878,57
818,63865,log0,1107,952,879,57
819,63925,log0,1108,953,880,57
820,63985,log0,1109,954,881,57
821,64045,log0,1110,955,882,57
822,64105,log0,1111,956,883,57
823,64165,log0,1112,957,884,57
824,64225,log0,1113,958,885,57
825,64285,log0,1114,959,886,57
826,64346,log0,1115,960,887,57
827,64405,log0,1116,961,888,57
828,64465,log0,1117,962,889,57
829,64525,log0,1118,963,890,57
830,64585,log0,1119,964,891,57
831,64645,log0,1120,965,892,57
832,64705,log0,1121,966,893,57
833,64765,log0,1122,967,894,57
834,64825,log0,1123,968,895,57
835,64885,log0,1124,969,896,57
836,64945,log0,1125,970,897,57
837,65005,log0,1126,971,898,57
838,65065,log0,1127,972,899,57
839,65125,log0,1128,973,900,57
840,65185,log0,1129,974,901,57
841,65245,log0,1130,975,902,57
842,65305,log0,1131,976,903,57
843,65365,log0,1132,977,904,57
844,65425,log0,1133,978,905,57
